branch	head_sha	last_commit_at	last_author	protected	default_branch	open_pr	closed_pr	merged_pr	pr_numbers	latest_pr_number	latest_pr_base	latest_pr_url	ahead_main	behind_main	ahead_dev	behind_dev	ancestor_of_main	ancestor_of_dev	unique_commit_count_vs_dev	unique_file_count_vs_dev	physical_ancestry_required	content_port_required	decision	reason	delete_batch
agent/v030-historical-docs-pr11b	1c079079ee0776b2a5b6e60772c85b130c931e30	2026-07-23T16:24:17+08:00	liq22	false	false	false	true	false	107	107	agent/v030-case-collision-history-pr11	https://github.com/PHMbench/PHM-Vibench/pull/107	98	0	0	70	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-historical-docs-pr11b-final	1c079079ee0776b2a5b6e60772c85b130c931e30	2026-07-23T16:24:17+08:00	liq22	false	false	false	true	false	108	108	agent/v030-case-collision-history-pr11	https://github.com/PHMbench/PHM-Vibench/pull/108	98	0	0	70	false	true	0	0	true	false	hold_physical_ancestry	required source-head ancestry for canonical PR until merged main is verified	K1/R06
agent/v030-history-case-normalization-pr11	880475da292a048ce923bb08fa513bad6a599928	2026-07-23T16:02:27+08:00	liq22	false	false	false	true	false	104	104	agent/v030-workspace-migration-pr10-final	https://github.com/PHMbench/PHM-Vibench/pull/104	83	0	3	88	false	false	3	36	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-module-agent-doc-inventory-batch3	fdf3663dc2f90c7cf69a7d85fbf7a31e369ca0ba	2026-07-23T09:52:59+08:00	liq22	false	false	false	true	false	88	88	agent/v030-agent-hidden-cleanup-batch2	https://github.com/PHMbench/PHM-Vibench/pull/88	20	0	16	164	false	false	16	79	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-paper-migration-tracker-pr12e	7c2e8b7e654239c396081ed011a378078764a8a2	2026-07-23T17:38:17+08:00	liq22	false	false	false	true	true	126,122	126	agent/v030-canonical-integration-r2	https://github.com/PHMbench/PHM-Vibench/pull/126	131	0	0	37	false	true	0	0	true	false	hold_physical_ancestry	required source-head ancestry for canonical PR until merged main is verified	K1/R06
agent/v030-paper-results-migration-pr10	cacc4feb18c1fa2c02b34c13de94059a5d1cf8e1	2026-07-23T15:25:36+08:00	liq22	false	false	false	true	false	102	102	agent/v030-ui-consolidation-pr09	https://github.com/PHMbench/PHM-Vibench/pull/102	74	0	2	96	false	false	2	1	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-phm-data-backend-governance-pr12d	bc43654b32c4b939ca5a9f4037c3b03a30edcf69	2026-07-23T17:00:44+08:00	liq22	false	false	false	true	false	119	119	agent/v030-v02-provenance-pr12c	https://github.com/PHMbench/PHM-Vibench/pull/119	127	0	0	41	false	true	0	0	true	false	hold_physical_ancestry	required source-head ancestry for canonical PR until merged main is verified	K1/R06
agent/v030-pipeline-descriptive-names-pr05	9b1337dc4f51d313b9be2da187e4d598c6731a9e	2026-07-23T13:16:55+08:00	liq22	false	false	false	true	false	95	95	agent/v030-public-package-cli-pr04	https://github.com/PHMbench/PHM-Vibench/pull/95	27	0	0	141	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-public-config-resolver-pr06	7508b8083d40fd303a86fa2092f0a8a99004d455	2026-07-23T13:26:47+08:00	liq22	false	false	false	true	false	96	96	agent/v030-pipeline-descriptive-names-pr05	https://github.com/PHMbench/PHM-Vibench/pull/96	32	0	0	136	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-public-package-cli-pr04	7d0981a026a4749685d39a7a7c8491b89d25cdca	2026-07-23T11:50:03+08:00	liq22	false	false	false	true	false	94	94	agent/v030-runtime-reader-baseline-pr02	https://github.com/PHMbench/PHM-Vibench/pull/94	26	0	0	142	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-reader-doc-neutralization-batch4	a56d4a025a5d58429412f4da4cfce3df23442cfc	2026-07-23T09:58:06+08:00	liq22	false	false	false	true	false	89	89	agent/v030-module-agent-doc-inventory-batch3	https://github.com/PHMbench/PHM-Vibench/pull/89	23	0	19	164	false	false	19	81	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-reader-doc-neutralization-pr03b	3d098efc11943b1f5ef477ccdf93a10ef27d6911	2026-07-23T16:38:11+08:00	liq22	false	false	false	true	true	124,113	124	agent/v030-canonical-integration-r2	https://github.com/PHMbench/PHM-Vibench/pull/124	101	0	0	67	false	true	0	0	true	false	hold_physical_ancestry	required source-head ancestry for canonical PR until merged main is verified	K1/R06
agent/v030-reader-doc-validation	3d098efc11943b1f5ef477ccdf93a10ef27d6911	2026-07-23T16:38:11+08:00	liq22	false	false	false	true	false	116	116	main	https://github.com/PHMbench/PHM-Vibench/pull/116	101	0	0	67	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-release-docs-pr12b	334922ff1b33b5638a33b94f865a2dacea93f866	2026-07-23T17:08:37+08:00	liq22	false	false	false	true	false	121	121	agent/v030-release-readiness-pr12	https://github.com/PHMbench/PHM-Vibench/pull/121	96	0	6	78	false	false	6	6	false	true	hold_content_port_evidence	content-port mapping and superseding commit must be retained before deletion	K1/R08
agent/v030-release-metadata-pr12a	ae5c8e0ab7aa2fd7b2905ced8ea7e302ca90d776	2026-07-23T16:40:32+08:00	liq22	false	false	false	true	false	115	115	agent/v030-release-readiness-pr12	https://github.com/PHMbench/PHM-Vibench/pull/115	104	0	14	78	false	false	14	10	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-release-readiness-pr12	5e69940ded28ff6e1abdcf8b83c67c2395767295	2026-07-23T16:08:53+08:00	liq22	false	false	false	true	false	106	106	agent/v030-historical-docs-pr11b-final	https://github.com/PHMbench/PHM-Vibench/pull/106	93	0	3	78	false	false	3	3	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-release-readiness-pr12-final	19748c93fb4716a5314cdaf38317b39a84da0cd7	2026-07-23T17:00:55+08:00	liq22	false	false	false	true	false	120	120	agent/v030-historical-docs-pr11b-final	https://github.com/PHMbench/PHM-Vibench/pull/120	101	0	0	67	false	true	0	0	true	false	hold_physical_ancestry	required source-head ancestry for canonical PR until merged main is verified	K1/R06
agent/v030-release-readiness-pr12-r2	8d1853c7627a311d400e2a6be7e1555049a3105f	2026-07-23T16:28:27+08:00	liq22	false	false	false	true	false	109	109	agent/v030-case-collision-history-pr11	https://github.com/PHMbench/PHM-Vibench/pull/109	96	0	0	72	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-remove-dev-history-batch7	644966451b57100e1084d489977fa06ce5ff007d	2026-07-23T10:41:44+08:00	liq22	false	false	false	true	false	92	92	agent/v030-remove-personal-submodules-batch6	https://github.com/PHMbench/PHM-Vibench/pull/92	38	0	34	164	false	false	34	200	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-remove-personal-submodules-batch6	855cc5622d24899752cb9bccae96c1ab3b5842bc	2026-07-23T10:19:58+08:00	liq22	false	false	false	true	false	91	91	agent/v030-submodule-inventory-batch5	https://github.com/PHMbench/PHM-Vibench/pull/91	32	0	28	164	false	false	28	88	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-remove-root-agent-docs	ec3d017fe0045b15a219bc5568947c1526b5504d	2026-07-23T09:13:19+08:00	liq22	false	false	false	true	false	85	85	agent/v030-repository-contract	https://github.com/PHMbench/PHM-Vibench/pull/85	14	0	10	164	false	false	10	10	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-repository-contract	d044d2031165cd4186d1da462fb154f101d6d493	2026-07-23T00:36:59+08:00	liq22	false	false	false	true	false	84	84	main	https://github.com/PHMbench/PHM-Vibench/pull/84	4	0	0	164	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-requirements-ownership-pr08	369a9b7c3b51505c4d0ba56ca201099a7db6fd67	2026-07-23T14:25:59+08:00	liq22	false	false	false	true	false	98	98	agent/v030-cwru-dual-source-pr07	https://github.com/PHMbench/PHM-Vibench/pull/98	56	0	0	112	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-research-workspace-migration-pr10	497ebfb93ca8a2a9c1f1f9b93fe009e2a1a7ae5d	2026-07-23T15:26:53+08:00	liq22	false	false	false	true	false	101	101	agent/v030-ui-consolidation-pr09	https://github.com/PHMbench/PHM-Vibench/pull/101	74	0	2	96	false	false	2	1	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-runtime-reader-baseline-pr02	3b2909e516283b1147ad1b07163f1a8745361d86	2026-07-23T11:18:08+08:00	liq22	false	false	false	true	false	93	93	agent/v030-repository-contract	https://github.com/PHMbench/PHM-Vibench/pull/93	16	0	0	152	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-submodule-governance-pr10b	8c1be3eb619f18c3d5e8ef51f1599a3aaeec4829	2026-07-23T16:48:17+08:00	liq22	false	false	false	true	false	117	117	agent/v030-reader-doc-neutralization-pr03b	https://github.com/PHMbench/PHM-Vibench/pull/117	103	0	2	67	false	false	2	2	false	true	hold_content_port_evidence	content-port mapping and superseding commit must be retained before deletion	K1/R08
agent/v030-submodule-governance-validation	8c1be3eb619f18c3d5e8ef51f1599a3aaeec4829	2026-07-23T16:48:17+08:00	liq22	false	false	false	true	false	118	118	main	https://github.com/PHMbench/PHM-Vibench/pull/118	103	0	2	67	false	false	2	2	false	false	review_validation_or_staging	agent validation/staging branch is non-ancestor and needs exact superseding proof	R04-R05
agent/v030-submodule-inventory-batch5	a44e5074448826bdb2055984e21eebc0627a18a9	2026-07-23T10:04:28+08:00	liq22	false	false	false	true	false	90	90	agent/v030-reader-doc-neutralization-batch4	https://github.com/PHMbench/PHM-Vibench/pull/90	24	0	20	164	false	false	20	82	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
agent/v030-ui-consolidation-pr09	46a0872cee7e1e292eec7a123f46d54580559de8	2026-07-23T15:03:10+08:00	liq22	false	false	false	true	false	99	99	agent/v030-requirements-ownership-pr08	https://github.com/PHMbench/PHM-Vibench/pull/99	72	0	0	96	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-v02-provenance-pr12c	b1afdab6b0db54fce3f551e505d3b184498ee41f	2026-07-23T16:40:31+08:00	liq22	false	false	false	true	true	125,114	125	agent/v030-canonical-integration-r2	https://github.com/PHMbench/PHM-Vibench/pull/125	111	0	0	57	false	true	0	0	true	false	hold_physical_ancestry	required source-head ancestry for canonical PR until merged main is verified	K1/R06
agent/v030-workspace-migration-pr10	f22409521da2a6001dd620efd3e21180130d1b52	2026-07-23T15:37:39+08:00	liq22	false	false	false	true	false	100	100	agent/v030-ui-consolidation-pr09	https://github.com/PHMbench/PHM-Vibench/pull/100	80	0	0	88	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
agent/v030-workspace-migration-pr10-final	f22409521da2a6001dd620efd3e21180130d1b52	2026-07-23T15:37:39+08:00	liq22	false	false	false	true	false	103	103	agent/v030-ui-consolidation-pr09	https://github.com/PHMbench/PHM-Vibench/pull/103	80	0	0	88	false	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
archive/pipeline06-source-20260705-7b97deb	7b97deb213c02727e73ba61bc1c508a9e61a5826	2026-07-09T12:25:02+08:00	liq22	false	false	false	false	false					465	457	465	625	false	false	465	0	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
archive/pipeline06-source-7b97deb	7b97deb213c02727e73ba61bc1c508a9e61a5826	2026-07-09T12:25:02+08:00	liq22	false	false	false	false	false					465	457	465	625	false	false	465	0	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
archive/pre-pipeline06-v021-908fdb3	908fdb330eef33e3daedb271527ca5e9da6ee4b3	2026-07-14T15:20:49+08:00	liq22	false	false	false	false	false					0	13	0	181	true	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
candidate/v0.2.0-repo-convergence-20260707	341792e749cbff32d1f48907c0a1504c43840c5d	2026-07-11T08:25:22+08:00	liq22	false	false	false	false	false					466	457	466	625	false	false	466	0	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
ci/core-quality-gates-20260713	d574cca9569f346e14c6f80412154e964c49cdde	2026-07-14T01:10:26+08:00	liq22	false	false	false	false	true	62	62	main	https://github.com/PHMbench/PHM-Vibench/pull/62	3	19	3	187	false	false	3	1	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
ci/offline-smoke-gate-20260713	e51efc490f52eb12ea75c7b6e73385849fd3a824	2026-07-14T10:10:04+08:00	liq22	false	false	false	false	true	63	63	main	https://github.com/PHMbench/PHM-Vibench/pull/63	7	18	7	186	false	false	7	5	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
cleanup/branch-inventory-20260728	137eb700eb8d4e000629d60f4149ef3355acfdb9	2026-07-28T11:52:59+08:00	liq22	false	false	false	false	false					169	0	1	0	false	false	1	1	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
cleanup/remove-case-colliding-dataset-modules-20260712	729961e697d5b9bf1c4a39edb9ca7956be232cbc	2026-07-12T01:45:49+08:00	liq22	false	false	false	false	true	56	56	main	https://github.com/PHMbench/PHM-Vibench/pull/56	1	27	1	195	false	false	1	4	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
cleanup/remove-personal-vscode-ai-profiles-20260713	7db2fcf976b66cfd729c021fe579ff3bef2b8df5	2026-07-14T00:14:25+08:00	liq22	false	false	false	false	true	58	58	main	https://github.com/PHMbench/PHM-Vibench/pull/58	2	24	2	192	false	false	2	2	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
cleanup/remove-vscode-ai-profiles-20260712	f0c330dc2099dc8a2930f90a242b359a34582877	2026-07-12T01:50:36+08:00	liq22	false	false	false	true	false	55	55	main	https://github.com/PHMbench/PHM-Vibench/pull/55	2	27	2	195	false	false	2	3	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
cleanup/repo-slim-2026-07-05	7b97deb213c02727e73ba61bc1c508a9e61a5826	2026-07-09T12:25:02+08:00	liq22	false	false	false	false	false					465	457	465	625	false	false	465	0	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
cleanup/repo-slim-2026-07-09	a4143f2bbaf77612b860bcd4ecaa73a2523046aa	2026-07-10T12:10:12+08:00	liq22	false	false	false	true	false	40	40	main	https://github.com/PHMbench/PHM-Vibench/pull/40	32	35	32	203	false	false	32	31	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
cleanup/repo-slim-minimal-20260711	cbbbc16d465ae0e7d13dcff15eb7f1b22eeea8bd	2026-07-12T00:40:42+08:00	liq22	false	false	false	false	true	48	48	main	https://github.com/PHMbench/PHM-Vibench/pull/48	1	30	1	198	false	false	1	8	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
dev	cf3c767b5d475308686b966d18a38eb26294bf7c	2026-07-28T10:16:37+08:00	liq22	true	false	false	false	false					168	0	0	0	false	true	0	0	false	false	retain_permanent	development and integration branch	K0
docs/app-surface-maturity-20260712	34c6da3a1718ddac197b00f9454591a95bbe1839	2026-07-12T01:33:05+08:00	liq22	false	false	false	false	true	54	54	main	https://github.com/PHMbench/PHM-Vibench/pull/54	1	27	1	195	false	false	1	2	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/archive-boundary-20260714	8f81469885af17f9b7a3155a450f6439b43f7e4e	2026-07-14T11:22:48+08:00	liq22	false	false	false	true	false	71	71	docs/factory-guides-validation-20260714	https://github.com/PHMbench/PHM-Vibench/pull/71	48	18	48	186	false	false	48	42	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/branch-policy-main-dev	b7d706ebf26ec463f7b72d9436eeef5ac2d29f94	2026-07-28T10:13:53+08:00	liq22	false	false	false	false	true	128	128	dev	https://github.com/PHMbench/PHM-Vibench/pull/128	174	0	7	1	false	false	7	5	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/contribution-policy-20260714	07d2771b2c4157d943ff6832cb98e9a7677eda66	2026-07-14T10:56:49+08:00	liq22	false	false	false	true	false	68	68	docs/user-onboarding-20260714	https://github.com/PHMbench/PHM-Vibench/pull/68	28	18	28	186	false	false	28	23	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/contributor-governance-20260714	415a703d11c1d30c49e6c71689dbe31ed026c3f8	2026-07-14T11:10:34+08:00	liq22	false	false	false	false	true	67	67	main	https://github.com/PHMbench/PHM-Vibench/pull/67	2	17	2	185	false	false	2	18	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/data-directory-scope-20260713	bb7aa1d7c16698d09c928b031087dc910157cf6f	2026-07-14T00:21:38+08:00	liq22	false	false	false	false	true	59	59	main	https://github.com/PHMbench/PHM-Vibench/pull/59	1	22	1	190	false	false	1	1	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/documentation-architecture-20260714	36e84a834a030d55b1dae6d86005a946e9b4f90a	2026-07-14T10:32:15+08:00	liq22	false	false	false	false	true	65	65	main	https://github.com/PHMbench/PHM-Vibench/pull/65	10	18	10	186	false	false	10	10	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/documentation-audit-20260714	e337886e1fd825dd134a7681c8399d8b6c097dc5	2026-07-14T10:26:05+08:00	liq22	false	false	false	true	false	64	64	main	https://github.com/PHMbench/PHM-Vibench/pull/64	3	18	3	186	false	false	3	3	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/factory-guides-validation-20260714	5d624a1a52b304b7e61c1db2fdcec1de865b2d0e	2026-07-14T11:17:37+08:00	liq22	false	false	false	true	false	70	70	docs/contribution-policy-20260714	https://github.com/PHMbench/PHM-Vibench/pull/70	44	18	44	186	false	false	44	39	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/finalize-documentation-audit-status-20260714	85abcc0e680af03e4972094975fcd19aefa146ad	2026-07-14T11:25:35+08:00	liq22	false	false	false	false	true	72	72	main	https://github.com/PHMbench/PHM-Vibench/pull/72	1	15	1	183	false	false	1	1	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/pipeline06-generative-migration-20260710	c7daf0e074e116a28709e844b13542d54575e4c6	2026-07-12T00:32:16+08:00	liq22	false	false	false	false	true	41	41	main	https://github.com/PHMbench/PHM-Vibench/pull/41	3	31	3	199	false	false	3	1	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/public-readme-surface-20260713	692b659220e7cd6d589d63ec84ee9326120def98	2026-07-14T00:36:46+08:00	liq22	false	false	false	false	true	60	60	main	https://github.com/PHMbench/PHM-Vibench/pull/60	5	21	5	189	false	false	5	4	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/readme-public-surface-20260712	ccb21ba6e0a5997f657f85fe8e4c1e4a1ce1711d	2026-07-12T08:33:04+08:00	liq22	false	false	false	true	false	51	51	main	https://github.com/PHMbench/PHM-Vibench/pull/51	6	27	6	195	false	false	6	20	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/remove-isfm-lowercase-readme-20260712	595cf675d1d631bae583df2bc97c2f54bb9128d3	2026-07-14T00:08:16+08:00	liq22	false	false	false	false	true	57	57	main	https://github.com/PHMbench/PHM-Vibench/pull/57	3	27	3	195	false	false	3	5	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/repo-surface-docs-20260712	eb37a51ae514bb1e8669ce18be8209ff52969c52	2026-07-12T02:05:10+08:00	liq22	false	false	false	true	false	53	53	main	https://github.com/PHMbench/PHM-Vibench/pull/53	2	27	2	195	false	false	2	95	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/repository-optimization-sop-20260711	9bc4937f1a844bd740e3430448b6e8e418347254	2026-07-12T00:48:20+08:00	liq22	false	false	false	false	true	49	49	main	https://github.com/PHMbench/PHM-Vibench/pull/49	1	29	1	197	false	false	1	1	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/specialist-history-cleanup-20260714	b61b2edf0d9554c5017061acfde021e4608af610	2026-07-14T11:18:39+08:00	liq22	false	false	false	false	true	69	69	main	https://github.com/PHMbench/PHM-Vibench/pull/69	3	16	3	184	false	false	3	11	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/task-readme-maturity-20260712	7f4932af757e2d3eb945b391ef81de96f932b9c8	2026-07-12T01:23:59+08:00	liq22	false	false	false	false	true	52	52	main	https://github.com/PHMbench/PHM-Vibench/pull/52	1	27	1	195	false	false	1	5	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
docs/user-onboarding-20260714	3c5e2b8ace3f73ca5b43d91e84b553daf99aa485	2026-07-14T10:38:09+08:00	liq22	false	false	false	true	false	66	66	docs/documentation-audit-20260714	https://github.com/PHMbench/PHM-Vibench/pull/66	12	18	12	186	false	false	12	11	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
feat/phm-data-factory-agent	ff78e8d7e017f5ef2719185fe190a17321d324e5	2026-06-24T22:57:32+08:00	liq22	false	false	false	false	false					2	44	2	212	false	false	2	2	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
feat/phm-data-factory-v02-backend	84605c0b8276cdb03f40fcd0577183e4dade0ae0	2026-07-18T09:40:07+08:00	liq22	false	false	false	true	false	82	82	main	https://github.com/PHMbench/PHM-Vibench/pull/82	1	0	1	168	false	false	1	14	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
feature/branch-governance-20260709	3513d02cc707fc3349d72f6fec2783012fed43d3	2026-07-09T17:34:21+08:00	liq22	false	false	false	false	true	38	38	main	https://github.com/PHMbench/PHM-Vibench/pull/38	0	36	0	204	true	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
feature/pipeline06-g1-runtime-shell-v021	d57fa5d03c661189f3d8c7b80a3e2ddd335a3630	2026-07-14T20:27:20+08:00	liq22	false	false	false	false	true	75	75	main	https://github.com/PHMbench/PHM-Vibench/pull/75	5	13	5	181	false	false	5	5	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
feature/pipeline06-g2-cfm-core-v021	fa0c8ba8f5dc4d2fa69dba3040696ecabb29ab06	2026-07-14T21:14:02+08:00	liq22	false	false	false	false	true	77	77	main	https://github.com/PHMbench/PHM-Vibench/pull/77	22	12	22	180	false	false	22	17	false	false	manual_salvage_review	non-ancestor branch with no complete automated disposition	R07
feature/pipeline06-g3-evidence-contract-v021	509eb907e115192289911a6abaffd4d415b84aee	2026-07-16T21:24:22+08:00	liq22	false	false	false	false	true	78	78	main	https://github.com/PHMbench/PHM-Vibench/pull/78	0	2	0	170	true	true	0	0	false	false	delete_after_ledger	head is already contained in main or dev and no protected evidence dependency was detected	R04-R06
feature/pipeline06-g4-cfm-promotion-v021	97f3a907b24d160db1478fe95f4c277da8bef7ac	2026-07-17T14:37:27+08:00	liq22	false	false	false	true	false	80	80	main	https://github.com/PHMbench/PHM-Vibench/pull/80	1	1	1	169	false	false	1	11	false	false	rebuild_from_dev	legacy PR(s) #80 require bounded replacement	K5/R07
