module,path,status,file_sha256,read_signature,read_ast_sha256,metadata_reference_count,metadata_reference_paths,direct_python_consumer_count,direct_python_consumer_paths,generic_runtime_consumer,notes
RM_011_pump,src/data_factory/reader/RM_011_pump.py,unverified,fba8b5aa7110efacb006c5711e5551cfc4c0b5ae5974d2cf741ea34e54d0a6f4,"read(file_path, *args)",28db86c271836c47b18a5c5118c51a09f732430894a08ea3fdaee7d7119bda1c,0,,0,,src/data_factory/data_factory.py,presence is not a maintained-support claim
RM_015_susu,src/data_factory/reader/RM_015_susu.py,maintained,04972c0299a6297d01d74849dc275efc00a88a0401f506dfa0443382c58ea1bb,"read(file_path, *args)",b9e5de60ebfc65d9849c0bd22fd69cc374389730b35472c902aefc81f816e3d6,1,data/metadata.xlsx,0,,src/data_factory/data_factory.py,
RM_016_JNU,src/data_factory/reader/RM_016_JNU.py,maintained,e83374cacfe5078f1bcce6195ef2746fe7c328fd6ee61ace80013c9d63f2d695,"read(file_path, *args)",fbeac391ec60473da2bd278ca46b1963da0e576bc5cd9fc353ea5e8b030370ee,1,data/metadata.xlsx,0,,src/data_factory/data_factory.py,
RM_017_Ottawa19,src/data_factory/reader/RM_017_Ottawa19.py,maintained,f3deca96bbe1f3a1545aa577c04ddc97d60042a7bce57a2853ddb2c41feb87b3,"read(file_path, *args)",a3ab92b6d83a840c59366c096b1d9efbf92c33a08121939d64c324fa96817690,1,data/metadata.xlsx,3,src/data_factory/reader/RM_018_THU24.py;src/data_factory/reader/RM_020_DIRG.py;src/data_factory/reader/utils.py,src/data_factory/data_factory.py,
RM_018_THU24,src/data_factory/reader/RM_018_THU24.py,maintained,4b91b28ae03db135b0a18d80131fd7544dd76b2f2dad9fe3d45dbfe120955031,"read(file_path, *args)",7f6ca76c12eb5ffc81b24fa37d83f3e54cb7fb9b73cc6e2b9149005d29a0995e,1,data/metadata.xlsx,0,,src/data_factory/data_factory.py,
RM_019_HIT,src/data_factory/reader/RM_019_HIT.py,unverified,34c5f23992acdb963c87587b50fa1a799d218b46804f60678da3bcdba2886ba2,"read(file_path, *args)",d8846782c3f76db167ca0553dc0359546d9a0e2cb160965e07b91db62489b15f,0,,0,,src/data_factory/data_factory.py,presence is not a maintained-support claim
RM_020_DIRG,src/data_factory/reader/RM_020_DIRG.py,maintained,8dd36740debe70cb1a13f13c13715c3faad33112e4905e93f2cb3bb11723d1e8,"read(file_path, *args)",0cff77195574469aed583fd2a185e8ba9c27020ad53d1acaf5c696a8e68d1459,1,data/metadata.xlsx,0,,src/data_factory/data_factory.py,
RM_023_HIT23,src/data_factory/reader/RM_023_HIT23.py,maintained,50d9f6aeb0c513b1dec54e42feee9967436c9ef8b9e851936bb10352683c1f65,"read(file_path, *args)",73d45304c41538430fec53554dc13fdab06a4c6adae18e98278ec1977c6a84e5,1,data/metadata.xlsx,1,src/data_factory/reader/RM_024_JUST.py,src/data_factory/data_factory.py,
RM_024_JUST,src/data_factory/reader/RM_024_JUST.py,maintained,567723287cfd51e0e41ecf248d77a138e04917d1dc1631c6fec7a40b4049da97,"read(file_path, *args)",48bf661f7de353b9d4fe338077eb030ceb9a6746144a4b8f118fab6396419e01,1,data/metadata.xlsx,0,,src/data_factory/data_factory.py,
RM_025_KAIST,src/data_factory/reader/RM_025_KAIST.py,experimental,ed5b17b127504ae76aad4b37befe9aeaaaacdb5ff2c8f8b1b3a1680a538ec0e1,,,0,,0,,src/data_factory/data_factory.py,no top-level read callable; presence is not a maintained-support claim
RM_026_HUST23,src/data_factory/reader/RM_026_HUST23.py,experimental,7211b718d5f60410d3588b9255f65427f605fd95414a87a5d9dfc0374382852d,,,0,,0,,src/data_factory/data_factory.py,no top-level read callable; presence is not a maintained-support claim
RM_027_PU,src/data_factory/reader/RM_027_PU.py,maintained,01a3154456ef1c38b8f8a91760d7970cf724928da312662ad11507f19af16e9d,"read(file_path, *args)",c4de62006a27ff3fec5b725e67b61e48dbdb6f2930346a4f88f59dabd953209c,1,data/metadata.xlsx,0,,src/data_factory/data_factory.py,
RM_031_HUST24,src/data_factory/reader/RM_031_HUST24.py,maintained,354f3c40d376e536e15afde436fcecbabea4e112e6097abe2a0419f6e5316162,"read(file_path, *args)",72fda180d356b5883676b6e9eb5dc62bbc2294a1897e9034a4e784778641c80e,1,data/metadata.xlsx,0,,src/data_factory/data_factory.py,
THU,src/data_factory/reader/THU.py,unverified,837274d6ccb17347ae2b7caf649a56a4bee3f002bb5a2eef7c1ee86aa4b7b4f2,"read(folder_path, condition, label_dict, freq)",d9a6556c918c655b7003545b681c0163d2ee251e002af25e2126ba44483fdad4,16,.claude/skills/config-manager-skill/resources/templates/hse_prompt.yaml;.claude/skills/config-manager-skill/resources/templates/quickstart.yaml;.claude/skills/config-manager-skill/skill_config.yaml;.claude/skills/data-factory-skill/skill_config.yaml;configs/v0.0.9/demo/HSE_Contrastive/ablation_prompt_fusion.yaml;configs/v0.0.9/demo/HSE_Contrastive/hse_cddg.yaml;configs/v0.0.9/demo/Paper_Experiments/Table1_Baseline_Dlinear.yaml;configs/v0.0.9/demo/Paper_Experiments/Table1_Baseline_PatchTST.yaml;configs/v0.0.9/demo/Paper_Experiments/Table1_Optimization_Strategy_Main.yaml;configs/v0.0.9/demo/Paper_Experiments/Table1a_Backbone_Universality.yaml;configs/v0.0.9/demo/Paper_Experiments/Table2_FewShot_Finetune.yaml;configs/v0.0.9/demo/Paper_Experiments/Table2_FewShot_Pretrain.yaml;configs/v0.0.9/demo/Paper_Experiments/Table3_Noise_Robustness.yaml;configs/v0.0.9/demo/Paper_Experiments/Table4_Ablation_Study.yaml;configs/v0.0.9/hse_contrastive_config_template.yaml;configs/v0.0.9/pipeline_03/hse_prompt_multitask_config.yaml,5,.claude/skills/config-manager-skill/tests/test_main.py;src/configs/config_utils.py;src/model_factory/ISFM/M_03_ISFM.py;src/model_factory/ISFM_Prompt/components/SystemPromptEncoder.py;src/utils/hse/prompt_validator.py,src/data_factory/data_factory.py,legacy non-RM module name and interface require implementation-aware review; presence is not a maintained-support claim
THU24,src/data_factory/reader/THU24.py,placeholder,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,0,,0,,src/data_factory/data_factory.py,no top-level read callable; presence is not a maintained-support claim
