dataset,method,seed,status,completed_stages,stage_ledger_path,latest_partial_path,latest_metric_path,latest_metric_line,latest_epoch,latest_step,reason
RM_003_FEMTO,rectified_flow_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/rectified_flow_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/rectified_flow_grid/seed_0/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_11_143513/iter_0/logs/version_0/metrics.csv,"32,820742,1.487352967262268,,1.487352967262268,,,",32,820742,all stages complete
RM_003_FEMTO,rectified_flow_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/rectified_flow_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/rectified_flow_grid/seed_1/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_11_185739/iter_0/logs/version_0/metrics.csv,"26,671516,1.486100435256958,,1.486100435256958,,,",26,671516,all stages complete
RM_003_FEMTO,ddpm_train_distribution,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/ddpm_train_distribution/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/ddpm_train_distribution/seed_0/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_11_223048/iter_0/logs/version_0/metrics.csv,"30,771000,0.24965395033359528,,0.24965395033359528,,,",30,771000,all stages complete
RM_003_FEMTO,ddpm_train_distribution,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/ddpm_train_distribution/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_003_FEMTO/ddpm_train_distribution/seed_1/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_12_020338/iter_0/logs/version_0/metrics.csv,"20,522290,0.2502408027648926,,0.2502408027648926,,,",20,522290,all stages complete
RM_008_UNSW,cfm_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/cfm_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/cfm_grid/seed_0/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_12_052618/iter_0/logs/version_0/metrics.csv,"49,47099,0.9556068778038025,,0.9556068778038025,,,",49,47099,all stages complete
RM_008_UNSW,cfm_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/cfm_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/cfm_grid/seed_1/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_12_054924/iter_0/logs/version_0/metrics.csv,"49,47099,0.9558460116386414,,0.9558460116386414,,,",49,47099,all stages complete
RM_008_UNSW,rectified_flow_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/rectified_flow_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/rectified_flow_grid/seed_0/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_12_061218/iter_0/logs/version_0/metrics.csv,"36,34853,1.3849964141845703,,1.3849964141845703,,,",36,34853,all stages complete
RM_008_UNSW,rectified_flow_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/rectified_flow_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/rectified_flow_grid/seed_1/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_12_062938/iter_0/logs/version_0/metrics.csv,"46,44273,1.3636983633041382,,1.3636983633041382,,,",46,44273,all stages complete
RM_008_UNSW,ddpm_train_distribution,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/ddpm_train_distribution/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/ddpm_train_distribution/seed_0/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_12_065132/iter_0/logs/version_0/metrics.csv,"29,28259,0.20305322110652924,,0.20305322110652924,,,",29,28259,all stages complete
RM_008_UNSW,ddpm_train_distribution,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/ddpm_train_distribution/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_008_UNSW/ddpm_train_distribution/seed_1/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_12_070344/iter_0/logs/version_0/metrics.csv,"26,25433,0.20877477526664734,,0.20877477526664734,,,",26,25433,all stages complete
RM_024_JUST,cfm_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/cfm_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/cfm_grid/seed_0/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_12_073642/iter_0/logs/version_0/metrics.csv,"49,13499,1.546909213066101,,1.546909213066101,,,",49,13499,all stages complete
RM_024_JUST,cfm_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/cfm_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/cfm_grid/seed_1/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_12_075824/iter_0/logs/version_0/metrics.csv,"49,13499,1.5093351602554321,,1.5093351602554321,,,",49,13499,all stages complete
RM_024_JUST,rectified_flow_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/rectified_flow_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/rectified_flow_grid/seed_0/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_12_082513/iter_0/logs/version_0/metrics.csv,"49,13499,1.6965500116348267,,1.6965500116348267,,,",49,13499,all stages complete
RM_024_JUST,rectified_flow_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/rectified_flow_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/rectified_flow_grid/seed_1/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_12_092553/iter_0/logs/version_0/metrics.csv,"42,11609,1.7083548307418823,,1.7083548307418823,,,",42,11609,all stages complete
RM_024_JUST,ddpm_train_distribution,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/ddpm_train_distribution/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/ddpm_train_distribution/seed_0/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_12_100034/iter_0/logs/version_0/metrics.csv,"30,8369,0.26828446984291077,,0.26828446984291077,,,",30,8369,all stages complete
RM_024_JUST,ddpm_train_distribution,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/ddpm_train_distribution/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_024_JUST/ddpm_train_distribution/seed_1/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_12_103618/iter_0/logs/version_0/metrics.csv,"16,4589,0.34147894382476807,,0.34147894382476807,,,",16,4589,all stages complete
RM_027_PU,cfm_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/cfm_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/cfm_grid/seed_0/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_12_111217/iter_0/logs/version_0/metrics.csv,"49,191899,0.8208446502685547,,0.8208446502685547,,,",49,191899,all stages complete
RM_027_PU,cfm_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/cfm_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/cfm_grid/seed_1/train/metadata.xlsx/M_phm_unet1d/T_generativeconditional_flow_matching_12_123656/iter_0/logs/version_0/metrics.csv,"48,188061,0.8206202387809753,,0.8206202387809753,,,",48,188061,all stages complete
RM_027_PU,rectified_flow_grid,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/rectified_flow_grid/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/rectified_flow_grid/seed_0/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_12_135351/iter_0/logs/version_0/metrics.csv,"49,191899,0.993347704410553,,0.993347704410553,,,",49,191899,all stages complete
RM_027_PU,rectified_flow_grid,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/rectified_flow_grid/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/rectified_flow_grid/seed_1/train/metadata.xlsx/M_phm_dit1d/T_generativerectified_flow_12_152319/iter_0/logs/version_0/metrics.csv,"47,184223,0.9971804022789001,,0.9971804022789001,,,",47,184223,all stages complete
RM_027_PU,ddpm_train_distribution,0,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/ddpm_train_distribution/seed_0/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/ddpm_train_distribution/seed_0/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_12_164640/iter_0/logs/version_0/metrics.csv,"19,76759,0.17587962746620178,,0.17587962746620178,,,",19,76759,all stages complete
RM_027_PU,ddpm_train_distribution,1,COMPLETE_CHAIN,train;sample;eval;paperpack,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/ddpm_train_distribution/seed_1/stage_ledger.json,,results/paper/phm_generative/six_dataset_submission_v1/real_run_v3_2026_06_10/runs/RM_027_PU/ddpm_train_distribution/seed_1/train/metadata.xlsx/M_mamba1d_backbone/T_generativeddpm_epsilon_12_171839/iter_0/logs/version_0/metrics.csv,"18,72921,0.17761598527431488,,0.17761598527431488,,,",18,72921,all stages complete
