category,registry_name,source_file,factory,constructor_or_parameters,input_contract,output_contract,supported_modes,status
task,FS/finetuning,task/FS/finetuning.py,task_factory,same standard task args,supervised few-shot batches,classification loss/metrics,FS,DISCOVERED_UNVERIFIED
task,GFS/classification,task/GFS/classification.py,task_factory,same standard task args,base/novel batches,classification loss/metrics,GFS,DISCOVERED_UNVERIFIED
task,GFS/matching,task/GFS/matching.py,task_factory,same standard task args,GFS episodes,matching loss/metrics,GFS,DISCOVERED_UNVERIFIED
model,ISFM/M_01_ISFM,src/model_factory/ISFM/M_01_ISFM.py,model_factory,"embedding,backbone,task_head,num_classes,patch_size_L,patch_size_C,num_patches,output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,ISFM/M_02_ISFM,src/model_factory/ISFM/M_02_ISFM.py,model_factory,"embedding,backbone,task_head,num_classes,num_channels,patch_size_L,patch_size_C,num_patches,output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,ISFM/M_02_ISFM_heterogeneous_batch,src/model_factory/ISFM/M_02_ISFM_heterogeneous_batch.py,model_factory,"embedding,backbone,task_head,num_classes,num_channels,patch_size_L,patch_size_C,num_patches,output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,ISFM/M_03_ISFM,src/model_factory/ISFM/M_03_ISFM.py,model_factory,"embedding,backbone,task_head,patch_size_L,patch_size_C,num_patches,output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,ISFM_Prompt/M_02_ISFM_Prompt,src/model_factory/ISFM_Prompt/M_02_ISFM_Prompt.py,model_factory,prompt-specific args,UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,CNN/ResNet1D,src/model_factory/CNN/ResNet1D.py,model_factory,"input_dim,block_type,layers,initial_channels,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,CNN/AttentionCNN,src/model_factory/CNN/AttentionCNN.py,model_factory,"input_dim,depth,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,CNN/MobileNet1D,src/model_factory/CNN/MobileNet1D.py,model_factory,"input_dim,depth,width_mult,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,CNN/MultiScaleCNN,src/model_factory/CNN/MultiScaleCNN.py,model_factory,"input_dim,num_scales,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,CNN/TCN,src/model_factory/CNN/TCN.py,model_factory,"input_dim,num_channels,kernel_size,dilation,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,RNN/AttentionLSTM,src/model_factory/RNN/AttentionLSTM.py,model_factory,"input_dim,hidden_dim,num_layers,bidirectional,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,RNN/AttentionGRU,src/model_factory/RNN/AttentionGRU.py,model_factory,"input_dim,hidden_dim,num_layers,bidirectional,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,RNN/ConvLSTM,src/model_factory/RNN/ConvLSTM.py,model_factory,"input_dim,hidden_dim,kernel_size,num_layers,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,RNN/ResidualRNN,src/model_factory/RNN/ResidualRNN.py,model_factory,"input_dim,hidden_dim,num_layers,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,RNN/TransformerRNN,src/model_factory/RNN/TransformerRNN.py,model_factory,"input_dim,hidden_dim,num_layers,num_heads,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,Transformer/PatchTST,src/model_factory/Transformer/PatchTST.py,model_factory,"input_dim,patch_size,stride,d_model,n_heads,num_layers,d_ff,dropout,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,Transformer/Autoformer,src/model_factory/Transformer/Autoformer.py,model_factory,"enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,seq_len,label_len,pred_len",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,Transformer/Informer,src/model_factory/Transformer/Informer.py,model_factory,"enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,seq_len,label_len,pred_len,factor,distil",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,Transformer/Linformer,src/model_factory/Transformer/Linformer.py,model_factory,"input_dim,d_model,n_heads,num_layers,k,seq_len,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,Transformer/ConvTransformer,src/model_factory/Transformer/ConvTransformer.py,model_factory,"input_dim,d_model,n_heads,num_layers,kernel_size,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,Transformer/Transformer_Dummy,src/model_factory/Transformer/Transformer_Dummy.py,model_factory,"input_dim,d_model,n_heads,num_layers,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,MLP/ResNetMLP,src/model_factory/MLP/ResNetMLP.py,model_factory,"input_dim,hidden_dim,num_layers,activation,dropout,num_classes",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,MLP/MLPMixer,src/model_factory/MLP/MLPMixer.py,model_factory,"input_dim,patch_size,hidden_dim,num_layers,mlp_ratio,dropout,num_classes",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,MLP/gMLP,src/model_factory/MLP/gMLP.py,model_factory,"input_dim,hidden_dim,num_layers,seq_len,dropout,num_classes",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,MLP/DenseNetMLP,src/model_factory/MLP/DenseNetMLP.py,model_factory,"input_dim,growth_rate,num_layers,hidden_dim,dropout,num_classes",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,MLP/Dlinear,src/model_factory/MLP/Dlinear.py,model_factory,"input_dim,seq_len,individual,kernel_size",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,NO/FNO,src/model_factory/NO/FNO.py,model_factory,"input_dim,output_dim,modes,width,num_layers",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,NO/DeepONet,src/model_factory/NO/DeepONet.py,model_factory,"input_dim,branch_depth,trunk_depth,width,trunk_dim,output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,NO/NeuralODE,src/model_factory/NO/NeuralODE.py,model_factory,"input_dim,hidden_dim,num_layers,solver,rtol,atol,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,NO/GraphNO,src/model_factory/NO/GraphNO.py,model_factory,"input_dim,hidden_dim,num_layers,num_eigenvectors,graph_size,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,NO/WaveletNO,src/model_factory/NO/WaveletNO.py,model_factory,"input_dim,hidden_dim,num_layers,wavelet,num_levels,mode,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,X_model/MWA_CNN,src/model_factory/X_model/MWA_CNN.py,model_factory,"input_dim,num_windows,kernel_size,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,X_model/TSPN,src/model_factory/X_model/TSPN.py,model_factory,"input_dim,hidden_dim,num_prototypes,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,X_model/TSPN_UXFD,src/model_factory/X_model/TSPN_UXFD.py,model_factory,"signal_processing_configs,feature_extractor_configs,in_channels,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
model,X_model/BASE_ExplainableCNN,src/model_factory/X_model/BASE_ExplainableCNN.py,model_factory,"in_channels,width,dropout,num_classes/output_dim",UNKNOWN_PENDING_CONTRACT_TRACE,UNKNOWN_PENDING_CONTRACT_TRACE,config-driven,DISCOVERED_UNVERIFIED
sampler,HierarchicalFewShotSampler,src/data_factory/samplers/FS_sampler.py,Get_sampler,"dataset,num_episodes,num_systems_per_episode,num_domains_per_system,num_labels_per_domain_task,num_support_per_label,num_query_per_label",IdIncludedDataset + metadata,episode indices,FS/GFS,DISCOVERED_UNVERIFIED
sampler,Same_system_Sampler,src/data_factory/samplers/Sampler.py,Get_sampler,"dataset,batch_size,shuffle,drop_last,system_metadata_key",IdIncludedDataset + Dataset_id,same-system batches,CDDG,DISCOVERED_UNVERIFIED
sampler,BalancedIdSampler,src/data_factory/samplers/Sampler.py,manual/unknown,"data_source,batch_size,common_samples_per_id,shuffle_within_id,shuffle_all",IdIncludedDataset,balanced indices,balanced training,DISCOVERED_UNVERIFIED
sampler,GroupedIdBatchSampler,src/data_factory/samplers/Sampler.py,manual/unknown,"data_source,batch_size,shuffle,drop_last",IdIncludedDataset + file_id,grouped batches,file-grouped training,DISCOVERED_UNVERIFIED
trainer,Default_trainer,src/trainer_factory/Default_trainer.py,trainer_factory,trainer + environment config,LightningModule/DataLoaders,pytorch_lightning.Trainer,fit/test,DISCOVERED_UNVERIFIED
