candidate_id,source_catalogue_row,canonical_name,variant,task_family,source_locator,source_ref,code_license,weights_license,lifecycle,disposition,reason_code,evidence_level,resource_profile,last_reviewed,notes
source:M151,Model_Candidates!152,mTAN,,,https://github.com/WenjieDu/PyPOTS,,,,DISCOVERED,,NONE,,,,
source:M152,Model_Candidates!153,AGCRN,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M153,Model_Candidates!154,D2STGNN,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M154,Model_Candidates!155,DCRNN,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M155,Model_Candidates!156,DGCRN,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M156,Model_Candidates!157,GTS,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M157,Model_Candidates!158,Graph WaveNet,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M158,Model_Candidates!159,MTGNN,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M159,Model_Candidates!160,MegaCRN,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M160,Model_Candidates!161,STAEformer,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M161,Model_Candidates!162,STEP,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M162,Model_Candidates!163,STGCN,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M163,Model_Candidates!164,STGODE,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M164,Model_Candidates!165,STID,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M165,Model_Candidates!166,STNorm,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M166,Model_Candidates!167,STWave,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M167,Model_Candidates!168,StemGNN,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M168,Model_Candidates!169,Autoformer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M169,Model_Candidates!170,Crossformer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M170,Model_Candidates!171,DLinear,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M171,Model_Candidates!172,DeepAR,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M172,Model_Candidates!173,ETSformer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M173,Model_Candidates!174,FEDformer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M174,Model_Candidates!175,FiLM,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M175,Model_Candidates!176,FreTS,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M176,Model_Candidates!177,Informer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M177,Model_Candidates!178,Koopa,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M178,Model_Candidates!179,LightTS,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M179,Model_Candidates!180,MICN,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M180,Model_Candidates!181,N-HiTS,,,https://github.com/GestaltCogTeam/BasicTS,,,,DISCOVERED,,NONE,,,,
source:M181,Model_Candidates!182,NLinear,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M182,Model_Candidates!183,Nonstationary Transformer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M183,Model_Candidates!184,PatchTST,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M184,Model_Candidates!185,Pyraformer,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M185,Model_Candidates!186,SCINet,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M186,Model_Candidates!187,TiDE,,,https://github.com/thuml/Time-Series-Library,,,,DISCOVERED,,NONE,,,,
source:M187,Model_Candidates!188,TimesNet,classification,classification_supervised,https://github.com/thuml/Time-Series-Library,4e938a1767106324dd753b2a44832bf870a0252e,MIT,,VERIFIED,CORE_NATIVE,NONE,E0+E1+E2,"installed wheel: 31 tests passed, 0 skipped; import 1.002 s; CLI 6.59 s; peak process 528.55 MiB",2026-09-22,"Classification-only native integration verified on installed wheel; explicit DC tie correction documented; E3/benchmark-ready not established."
