arm,seed,role,family,domain,domain_i,domain_j,metric,component,unit,mean,median,n,n_missing,n_batches,measurement_status,risk_reference,consistency_target,summary_scope,artifact
MLP16,42,core,response,2,,,b_over_sqrt_A,,signed probability direction; undefined when A=0,-0.032782035457175444,-0.03742415140895858,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_p0_squared_norm,,squared probability L2 norm,9.167975429702602e-14,5.964684380633557e-14,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_q_squared_norm,,squared probability L2 norm,1.2368500321158216e-15,9.488937413593135e-16,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_v_squared_norm,,squared probability L2 norm,8.717948585257319e-14,5.735689700969715e-14,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_p0_mean_vector,0,signed probability; frozen class-order index,-1.2498858268372714e-09,-1.6698322724550962e-09,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_p0_mean_vector,1,signed probability; frozen class-order index,-1.4118850231170654e-09,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_p0_mean_vector,2,signed probability; frozen class-order index,2.380460500717163e-09,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_q_mean_vector,0,signed probability; frozen class-order index,-9.918585419654846e-11,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_q_mean_vector,1,signed probability; frozen class-order index,6.705522537231445e-11,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_q_mean_vector,2,signed probability; frozen class-order index,-7.450580596923828e-12,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_v_mean_vector,0,signed probability; frozen class-order index,1.0337680578231812e-09,9.313225746154785e-10,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_v_mean_vector,1,signed probability; frozen class-order index,1.5050172805786134e-09,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,2,,,delta_v_mean_vector,2,signed probability; frozen class-order index,-2.387911081314087e-09,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,A,,squared probability L2 norm,0.08597490763245151,0.0793822631239891,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,b,,probability inner product,-0.010657765000127255,-0.0036215968430042267,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,sqrt_A,,probability L2 norm,0.28701072865522415,0.2817483145713537,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,b_over_sqrt_A,,signed probability direction; undefined when A=0,-0.01819807698317425,-0.015255305169606048,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_p0_squared_norm,,squared probability L2 norm,8.8179166639129e-14,5.75251651868669e-14,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_q_squared_norm,,squared probability L2 norm,1.24969132264674e-15,9.575673587391975e-16,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_v_squared_norm,,squared probability L2 norm,8.335476753273952e-14,5.499767308236869e-14,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_p0_mean_vector,0,signed probability; frozen class-order index,-1.0029383702203632e-08,-2.939486876130104e-09,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_p0_mean_vector,1,signed probability; frozen class-order index,2.5033950805664064e-09,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_p0_mean_vector,2,signed probability; frozen class-order index,8.255243301391602e-09,7.450580596923828e-09,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_q_mean_vector,0,signed probability; frozen class-order index,-7.553026080131531e-10,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_q_mean_vector,1,signed probability; frozen class-order index,4.0978193283081055e-10,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_q_mean_vector,2,signed probability; frozen class-order index,-4.470348358154297e-11,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_v_mean_vector,0,signed probability; frozen class-order index,9.194016456604004e-09,1.862645149230957e-09,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_v_mean_vector,1,signed probability; frozen class-order index,-2.1345913410186766e-09,0.0,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,response,3,,,delta_v_mean_vector,2,signed probability; frozen class-order index,-8.299946784973145e-09,-7.450580596923828e-09,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_responses.csv
MLP16,42,core,objective,,,,loss,,CE + beta Brier + weighted consistency,0.23049160940785987,0.2167198359966278,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_batches.csv
MLP16,42,core,objective,,,,risk_objective,,CE + beta Brier,0.23049160940785987,0.2167198359966278,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_batches.csv
MLP16,42,core,objective,,,,diagnostic_excess,,CE + beta Brier,0.23049160940785987,0.2167198359966278,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_batches.csv
MLP16,42,core,objective,,,,max_source_excess,,CE + beta Brier,0.4949599061124027,0.5060282349586487,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_batches.csv
MLP16,42,core,objective,,,,source_envelope,,CE + beta Brier,0.6111286356598139,0.6192212998867035,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_batches.csv
MLP16,42,core,objective,,,,correction_consistency,,unweighted squared probability L2 norm,8.12419128722226e-14,6.792714990749155e-14,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_batches.csv
MLP16,42,core,objective,,,,candidate_output_consistency,,unweighted squared probability L2 norm,1.2239755274444254e-15,1.133352741557593e-15,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_batches.csv
MLP16,42,core,objective,,,,reference_output_consistency,,squared probability L2 norm,8.553051257439845e-14,7.071763218958506e-14,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_batches.csv
MLP16,42,core,objective,,,,pair_penalty,,selected unweighted squared probability L2 norm,8.12419128722226e-14,6.792714990749155e-14,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_42/training_batches.csv
MLP16,123,core,domain_risk,0,,,candidate_risk,,CE + beta Brier,1.1330762056708337,1.1219839453697205,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_domains.csv
MLP16,123,core,domain_risk,0,,,reference_risk,,CE + beta Brier,0.8920366529524326,0.8862411379814148,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_domains.csv
MLP16,123,core,domain_risk,0,,,excess,,CE + beta Brier,0.241039551705122,0.22176269441843033,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_domains.csv
MLP16,123,core,domain_risk,0,,,weight,,dimensionless,0.3333333432674408,0.3333333432674408,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_domains.csv
MLP16,123,core,domain_risk,2,,,candidate_risk,,CE + beta Brier,1.1388194723129272,1.1297954320907593,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_domains.csv
MLP16,123,core,domain_risk,2,,,reference_risk,,CE + beta Brier,0.8986859718561172,0.8900976777076721,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_domains.csv
MLP16,123,core,domain_risk,2,,,excess,,CE + beta Brier,0.2401334983482957,0.23757484555244446,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_domains.csv
MLP16,123,core,domain_risk,2,,,weight,,dimensionless,0.3333333432674408,0.3333333432674408,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_domains.csv
MLP16,123,core,domain_risk,3,,,candidate_risk,,CE + beta Brier,1.1442001172304153,1.1332957744598389,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_domains.csv
MLP16,123,core,domain_risk,3,,,reference_risk,,CE + beta Brier,0.9357936109304428,0.9071381986141205,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_domains.csv
MLP16,123,core,domain_risk,3,,,excess,,CE + beta Brier,0.208406505394727,0.2098286896944046,1000,0,1000,recorded,relative,correction,"equal-weight summaries of recorded source-training batch statistics; changing models, not frozen population estimates",/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/MLP16/seed_123/training_domains.csv
