arm,seed,role,stage,status,measurement_status,seconds,timer_field,time_boundary,trainable_parameters,direct_parameters,reference_parameters,stored_parameters,optimizer_steps,peak_allocated_gpu_bytes,label_pool,groups,acquisitions,windows,labelled_acquisitions,exit_status,benchmark_commit,reason,run_directory,artifact
UO,42,core,process,completed,measured,157.0246856699814,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,937,6242,5305,6242,1000,70707712,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_42/execution_status.json
UO,123,core,fit,completed,measured,80.59156006603735,training_seconds,training loop including forward/backward/update,937,6242,5305,6242,1000,70707712,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_123/result_scope.json
UO,123,core,source_selection,completed,measured,61.03611416410422,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,937,6242,5305,6242,1000,70707712,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_123/result_scope.json
UO,123,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,937,6242,5305,6242,1000,70707712,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_123/result_scope.json
UO,123,core,source_materialization,completed,measured,4.585281516017858,source_materialization_seconds,source waveform read and deterministic windows,937,6242,5305,6242,1000,70707712,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_123/result_scope.json
UO,123,core,process,completed,measured,161.77230940200388,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,937,6242,5305,6242,1000,70707712,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_123/execution_status.json
UO,456,core,fit,completed,measured,78.5896878860658,training_seconds,training loop including forward/backward/update,937,6242,5305,6242,1000,70707712,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_456/result_scope.json
UO,456,core,source_selection,completed,measured,58.59964435285656,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,937,6242,5305,6242,1000,70707712,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_456/result_scope.json
UO,456,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,937,6242,5305,6242,1000,70707712,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_456/result_scope.json
UO,456,core,source_materialization,completed,measured,4.3519737489987165,source_materialization_seconds,source waveform read and deterministic windows,937,6242,5305,6242,1000,70707712,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_456/result_scope.json
UO,456,core,process,completed,measured,156.38628615997732,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,937,6242,5305,6242,1000,70707712,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/UO/seed_456/execution_status.json
RO,42,core,fit,completed,measured,73.57119242521003,training_seconds,training loop including forward/backward/update,937,6242,5305,6242,1000,70703104,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_42/result_scope.json
RO,42,core,source_selection,completed,measured,55.7755491011776,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,937,6242,5305,6242,1000,70703104,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_42/result_scope.json
RO,42,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,937,6242,5305,6242,1000,70703104,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_42/result_scope.json
RO,42,core,source_materialization,completed,measured,5.3433447110001,source_materialization_seconds,source waveform read and deterministic windows,937,6242,5305,6242,1000,70703104,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_42/result_scope.json
RO,42,core,process,completed,measured,153.1238117920002,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,937,6242,5305,6242,1000,70703104,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_42/execution_status.json
RO,123,core,fit,completed,measured,81.53390104684513,training_seconds,training loop including forward/backward/update,937,6242,5305,6242,1000,70703104,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_123/result_scope.json
RO,123,core,source_selection,completed,measured,61.999766022199765,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,937,6242,5305,6242,1000,70703104,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_123/result_scope.json
RO,123,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,937,6242,5305,6242,1000,70703104,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_123/result_scope.json
RO,123,core,source_materialization,completed,measured,4.436466910003219,source_materialization_seconds,source waveform read and deterministic windows,937,6242,5305,6242,1000,70703104,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_123/result_scope.json
RO,123,core,process,completed,measured,164.59099694603356,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,937,6242,5305,6242,1000,70703104,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_123,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_123/execution_status.json
RO,456,core,fit,completed,measured,79.92859882407356,training_seconds,training loop including forward/backward/update,937,6242,5305,6242,1000,70703104,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_456/result_scope.json
RO,456,core,source_selection,completed,measured,62.257246567925904,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,937,6242,5305,6242,1000,70703104,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_456/result_scope.json
RO,456,core,export,completed,missing,,export_seconds,selected checkpoint/validation artifact writes,937,6242,5305,6242,1000,70703104,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_456/result_scope.json
RO,456,core,source_materialization,completed,measured,4.610268054006156,source_materialization_seconds,source waveform read and deterministic windows,937,6242,5305,6242,1000,70703104,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_456/result_scope.json
RO,456,core,process,completed,measured,162.12898095097626,wall_seconds,whole invocation monotonic timer; includes startup and I/O; overlaps internal timers,937,6242,5305,6242,1000,70703104,,,,,,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_456,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RO/seed_456/execution_status.json
RC,42,core,fit,completed,measured,72.8114212930086,training_seconds,training loop including forward/backward/update,937,6242,5305,6242,1000,70703104,source_fit,15,900,1800,900,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RC/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RC/seed_42/result_scope.json
RC,42,core,source_selection,completed,measured,57.06310239806771,source_selection_seconds,per-epoch source-validation evaluation and checkpoint score,937,6242,5305,6242,1000,70703104,source_selection,5,300,600,300,0,19ae593bca674ed021662ba92383cb467e583279,,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RC/seed_42,/tmp/p01-d1-20260919-1irHPs/artifacts/d1_pu_20260919/core/RC/seed_42/result_scope.json
