index,ch1,ch2
146,0.8179,0.8179
147,0.8131,0.8131
148,0.8082,0.8082
149,0.8031,0.8031
150,0.7978,0.7978
151,0.7924,0.7924
152,0.7869,0.7869
153,0.7812,0.7812
154,0.7753,0.7753
155,0.7693,0.7693
156,0.7632,0.7632
157,0.7569,0.7569
158,0.7505,0.7505
159,0.7439,0.7439
160,0.7372,0.7372
161,0.7304,0.7304
162,0.7234,0.7234
163,0.7163,0.7163
164,0.7091,0.7091
165,0.7017,0.7017
166,0.6943,0.6943
167,0.6867,0.6867
168,0.6790,0.6790
169,0.6712,0.6712
170,0.6633,0.6633
171,0.6552,0.6552
172,0.6471,0.6471
173,0.6388,0.6388
174,0.6304,0.6304
175,0.6219,0.6219
176,0.6132,0.6132
177,0.6045,0.6045
178,0.5956,0.5956
179,0.5867,0.5867
180,0.5776,0.5776
181,0.5684,0.5684
182,0.5591,0.5591
183,0.5496,0.5496
184,0.5401,0.5401
185,0.5305,0.5305
186,0.5208,0.5208
187,0.5109,0.5109
188,0.5010,0.5010
189,0.4910,0.4910
190,0.4810,0.4810
191,0.4707,0.4707
192,0.4604,0.4604
193,0.4500,0.4500
194,0.4395,0.4395
195,0.4289,0.4289
196,0.4182,0.4182
197,0.4075,0.4075
198,0.3966,0.3966
199,0.3857,0.3857
200,0.3747,0.3747
201,0.3636,0.3636
202,0.3524,0.3524
203,0.3411,0.3411
204,0.3298,0.3298
205,0.3184,0.3184
206,0.3069,0.3069
207,0.2954,0.2954
208,0.2838,0.2838
209,0.2722,0.2722
210,0.2604,0.2604
211,0.2487,0.2487
212,0.2368,0.2368
213,0.2249,0.2249
214,0.2130,0.2130
215,0.2010,0.2010
216,0.1890,0.1890
217,0.1770,0.1770
218,0.1649,0.1649
219,0.1528,0.1528
220,0.1406,0.1406
221,0.1285,0.1285
222,0.1163,0.1163
223,0.1041,0.1041
224,0.0919,0.0919
225,0.0797,0.0797
226,0.0674,0.0674
227,0.0552,0.0552
228,0.0429,0.0429
229,0.0307,0.0307
230,0.0184,0.0184
231,0.0061,0.0061
232,-0.0061,-0.0061
233,-0.0184,-0.0184
234,-0.0307,-0.0307
235,-0.0429,-0.0429
236,-0.0552,-0.0552
237,-0.0674,-0.0674
238,-0.0797,-0.0797
239,-0.0919,-0.0919
240,-0.1041,-0.1041
241,-0.1163,-0.1163
242,-0.1285,-0.1285
243,-0.1406,-0.1406
244,-0.1528,-0.1528
245,-0.1649,-0.1649
246,-0.1770,-0.1770
247,-0.1890,-0.1890
248,-0.2010,-0.2010
249,-0.2130,-0.2130
250,-0.2249,-0.2249
251,-0.2368,-0.2368
252,-0.2487,-0.2487
253,-0.2604,-0.2604
254,-0.2722,-0.2722
255,-0.2838,-0.2838
